"filename", "language", "JavaScript", "JSON", "SQL", "Prisma", "comment", "blank", "total"
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\Data\AllowedUpdatesList.js", "JavaScript", 183, 0, 0, 0, 0, 2, 185
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\config\allowedOrigins.js", "JavaScript", 14, 0, 0, 0, 0, 2, 16
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\config\corsOptions.js", "JavaScript", 13, 0, 0, 0, 0, 2, 15
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\controllers\addressController.js", "JavaScript", 485, 0, 0, 0, 7, 13, 505
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\controllers\aminitiesController.js", "JavaScript", 257, 0, 0, 0, 19, 13, 289
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\controllers\announcementController.js", "JavaScript", 327, 0, 0, 0, 4, 14, 345
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\controllers\applicationController.js", "JavaScript", 265, 0, 0, 0, 2, 9, 276
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\controllers\articlesController.js", "JavaScript", 558, 0, 0, 0, 15, 12, 585
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\controllers\authController.js", "JavaScript", 226, 0, 0, 0, 12, 9, 247
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\controllers\categoryController.js", "JavaScript", 357, 0, 0, 0, 4, 13, 374
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\controllers\currencyController.js", "JavaScript", 240, 0, 0, 0, 3, 12, 255
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\controllers\dataController.js", "JavaScript", 26, 0, 0, 0, 0, 3, 29
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\controllers\developerController.js", "JavaScript", 364, 0, 0, 0, 4, 14, 382
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\controllers\enquiryFormController.js", "JavaScript", 156, 0, 0, 0, 2, 10, 168
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\controllers\feedbackController.js", "JavaScript", 152, 0, 0, 0, 2, 10, 164
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\controllers\fileController.js", "JavaScript", 54, 0, 0, 0, 0, 3, 57
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\controllers\guestInformationController.js", "JavaScript", 109, 0, 0, 0, 1, 7, 117
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\controllers\imageController.js", "JavaScript", 63, 0, 0, 0, 0, 2, 65
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\controllers\jobController.js", "JavaScript", 483, 0, 0, 0, 5, 14, 502
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\controllers\languageController.js", "JavaScript", 103, 0, 0, 0, 1, 10, 114
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\controllers\listWithUsController.js", "JavaScript", 377, 0, 0, 0, 2, 12, 391
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\controllers\metaDataController.js", "JavaScript", 334, 0, 0, 0, 5, 10, 349
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\controllers\paymentPlanController.js", "JavaScript", 522, 0, 0, 0, 17, 13, 552
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\controllers\propertiesController.js", "JavaScript", 1947, 0, 0, 0, 19, 39, 2005
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\controllers\refreshTokenController.js", "JavaScript", 28, 0, 0, 0, 1, 3, 32
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\controllers\resourcesController.js", "JavaScript", 125, 0, 0, 0, 2, 9, 136
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\controllers\roleController.js", "JavaScript", 167, 0, 0, 0, 1, 11, 179
